	0.0003523312625475228
D2d	0.0019270086149836875
L5D1	0.001658406049394208
D6L2	0.0020590400174912396
L3D7	0.0020649872324064573
W7D2	0.0020399504367441964
W7D3	0.002009331702424133
dD6	0.0020402792626139444
L7D2	0.002030343314570184
L6D3	0.0019506072652209182
L3D1	8.916304954635873e-05
L2D1	1.6345930505698803e-05
L4D2	0.0016179222388079475
L8D1	0.0016635940424152623
L8D2	0.0016605521951417934
D6L1	0.0016102376866816291
W4D6	0.00161543938348398
L7D3	0.0015966188935587595
L3D2	0.0006066684275721774
L5D4	0.0015203634584727193
L1D8	0.0015042225720146955
L9D1	0.0014985545913441865
L4D3	0.0014296755106630577
L2D5	0.0015012570810353195
D6L3	0.001496756481061258
W5d	0.000886318326580107
W8D2	0.0014566695622547795
W8D1	0.0012961257917276747
ES1	1.7140251807201364e-05
W6d	0.000809903241375399
D7L1	0.001259366038856864
L1d	6.278312569429945e-05
W8D3	0.0012422404448194976
L6D4	0.001246553273029634
L9D3	0.0012511737528294142
D3L3	0.000779472607954087
L2D3	0.00046838799398120584
L1D5	0.001005810511639355
L2D2	7.339176537370944e-05
dD7	0.0011168581987891966
D4L3	0.0010614793725415227
D5d	0.0010946744595714084
D7L2	0.0010837693505803036
L8D3	0.0010707153076637344
D4L2	0.0008985924580376331
dD1	0.0007279665578725184
W7D4	0.00096455722395993
L1D4	0.0005673791295292949
L1D2	2.2972453308730925e-05
L4D1	0.0002840198129397222
W4D1	0.00035369967748909007
W4S1	6.223837302082946e-05
L9D2	0.000834963171349245
W4D5	0.0008120607128658254
L4d	0.0006510314438710376
D7d	0.0007888693272659414
L3S1	3.108803703569341e-05
D6d	0.0007861875463611098
L2D8	0.0007918330037002182
L10D3	0.0007791966699283744
W8D4	0.0007495348778004638
L1D9	0.0007185021750681695
L5d	0.0005985634986186255
D7L3	0.0007171955423426162
W6D6	0.0006915940928248895
W7d	0.000447601918120906
W5D6	0.0006917432758268452
W4D7	0.0006870323728072548
L7D4	0.0006792901105823531
L6d	0.0005584280972489042
L1D3	7.676128738454724e-05
L4D5	0.0006061017749084879
D1L1	1.8125431318094578e-06
D4W4	0.0005634616536228133
D1W6	0.0002695017845122336
D1d	0.0004202479101076618
W9D1	0.0005062953934134396
D2L3	0.0001493954871829851
L11D3	0.0004993036870869526
L10D2	0.0004993928202052264
L8D4	0.0004892458695267529
L1S1	9.227543067563939e-07
D8L1	0.0004732227616240207
L2D9	0.00046153786202958707
W5D5	0.00045459305223373154
D3L2	0.0001329613561672694
W5S1	0.00012172867146139068
W6S1	0.0001532942225893536
D3W4	0.0003742578796379545
W9D3	0.00042742561703923833
D1L7	0.0003557929586367754
D2L2	2.624088810792724e-05
D9L1	0.0003993652680098595
D5L1	0.0003340238907822187
D2W6	0.00030566756736395917
L9D4	0.00036665114754813903
L7d	0.00030554891315046117
W8d	0.00028050173497512314
D4L1	0.000249530652291512
L2S1	2.9779426892295926e-06
D1L6	0.00025747236896662946
L3D8	0.00034938083189104286
D3W6	0.0003246114410987044
D6W4	0.000343458375054836
L10D1	0.0003267160804960335
L1K3	2.6617608448139007e-06
D1L2	4.234911798831262e-06
D1L3	1.79761353980793e-05
D5L3	0.00031000007100786495
W5D7	0.0003092657928803378
L6S1	0.0001276961220956938
D1L5	0.0001705251273918564
W6D7	0.00030300843677840626
W6D5	0.00029780803354541655
D5L2	0.000280329234728009
